Date,Temperature,DewPoint,Humidity,SeaLvlPressure,Visibility,Wind
2013-12-21,60,49,75,29.68,7,4
2013-12-22,48,36,68,30.13,10,6
2013-12-23,45,27,52,30.49,10,3
2013-12-24,46,28,56,30.45,10,4
2013-12-25,50,40,71,30.33,10,2
2013-12-26,48,36,63,30.4,9,3
2013-12-27,53,39,65,30.39,9,1
2013-12-28,51,39,64,30.17,10,2
2013-12-29,50,41,76,30.1,10,5
2013-12-30,40,26,60,30.33,10,5
2013-12-31,46,28,54,30.39,10,1
2014-01-01,54,42,68,30.11,10,4
2014-01-02,44,26,55,30.37,10,8
2014-01-03,43,22,49,30.35,10,4
2014-01-04,57,48,68,29.95,10,7
2014-01-05,47,32,59,30.08,10,10
2014-01-06,29,8,38,30.68,10,7
2014-01-07,35,11,43,30.52,10,5
2014-01-08,47,45,75,30.2,2,1
2014-01-09,62,55,80,30.11,4,3
2014-01-10,65,61,81,29.87,8,6
2014-01-11,62,37,53,30.06,9,3
2014-01-12,57,47,68,30.01,10,4
2014-01-13,57,36,51,30.01,9,7
2014-01-14,57,25,41,30.13,10,5
2014-01-15,52,23,35,30.33,10,4
2014-01-16,56,27,38,30.13,10,4
2014-01-17,54,20,31,30.29,10,5
2014-01-18,54,33,45,30.19,10,2
2014-01-19,59,30,39,30.22,10,3
2014-01-20,64,36,44,30,10,5
2014-01-21,51,23,39,30.31,10,6
2014-01-22,54,27,45,30.11,10,4
2014-01-23,42,29,64,30.47,8,9
2014-01-24,33,17,60,30.63,9,5
2014-01-25,48,27,53,30.19,10,1
2014-01-26,60,39,52,29.84,10,3
2014-01-27,47,23,44,30.09,10,9
2014-01-28,33,14,48,30.4,10,6
2014-01-29,38,13,42,30.41,10,5
2014-01-30,48,36,64,30.06,10,7
2014-01-31,68,54,64,29.87,10,9
2014-02-01,66,59,71,29.81,10,6
2014-02-02,45,33,69,30.09,8,11
2014-02-03,40,33,74,30.17,6,6
2014-02-04,53,41,68,29.95,6,2
2014-02-05,40,26,60,30.37,10,10
2014-02-06,29,15,54,30.48,10,8
2014-02-07,34,24,68,30.32,7,3
2014-02-08,51,36,63,30.17,7,5
2014-02-09,59,45,70,30.05,5,4
2014-02-10,48,36,74,30.15,8,9
2014-02-11,35,29,80,30.24,5,9
2014-02-12,45,29,57,30.18,9,5
2014-02-13,51,34,58,30.02,10,4
2014-02-14,67,37,51,29.93,10,6
2014-02-15,59,35,43,30.09,10,5
2014-02-16,68,57,74,30.01,5,5
2014-02-17,70,50,52,30.03,8,5
2014-02-18,69,53,55,30,10,4
2014-02-19,73,60,70,29.85,9,7
2014-02-20,70,50,48,29.85,9,8
2014-02-21,57,27,43,30.11,10,5
2014-02-22,63,46,53,29.96,10,6
2014-02-23,74,56,57,29.95,10,4
2014-02-24,66,51,65,30.04,9,4
2014-02-25,62,60,85,30.01,4,5
2014-02-26,44,33,63,30.18,8,8
2014-02-27,45,27,56,30.1,10,3
2014-02-28,62,46,60,29.85,10,6
2014-03-01,68,57,74,29.95,7,5
2014-03-02,51,45,79,30.05,8,10
2014-03-03,36,20,56,30.33,9,10
2014-03-04,40,31,72,30.18,8,4
2014-03-05,46,39,76,30.06,7,3
2014-03-06,54,38,62,30.18,8,4
2014-03-07,53,42,65,29.99,9,6
2014-03-08,52,49,88,30.09,3,4
2014-03-09,49,39,71,30.29,9,5
2014-03-10,61,51,69,30.08,9,3
2014-03-11,70,54,66,29.77,9,5
2014-03-12,60,28,36,30.13,10,11
2014-03-13,52,26,35,30.26,10,4
2014-03-14,62,51,68,30.04,10,5
2014-03-15,68,62,81,29.86,5,4
2014-03-16,56,45,66,29.9,10,11
2014-03-17,55,26,36,29.94,10,6
2014-03-18,65,42,49,29.74,10,8
2014-03-19,62,37,52,30.07,9,6
2014-03-20,59,36,52,30.15,10,2
2014-03-21,67,54,69,29.95,8,7
2014-03-22,69,62,80,29.95,7,4
2014-03-23,54,43,62,30.19,10,9
2014-03-24,58,42,58,30.14,10,3
2014-03-25,57,38,61,30.24,10,5
2014-03-26,60,47,57,30.08,10,10
2014-03-27,72,63,78,29.83,7,8
2014-03-28,76,61,64,29.79,8,5
2014-03-29,64,40,43,30.18,10,5
2014-03-30,62,43,56,30.13,10,8
2014-03-31,73,57,65,29.93,10,9
2014-04-01,76,64,71,29.92,8,8
2014-04-02,76,67,78,29.8,9,9
2014-04-03,77,67,74,29.74,8,7
2014-04-04,64,35,58,30.03,10,8
2014-04-05,60,38,48,29.99,10,4
2014-04-06,57,49,76,29.81,7,5
2014-04-07,62,49,69,29.92,9,3
2014-04-08,64,38,57,30.14,10,8
2014-04-09,65,42,51,30.17,10,6
2014-04-10,72,53,59,30.01,10,10
2014-04-11,73,59,65,29.98,10,8
2014-04-12,75,62,66,29.91,10,10
2014-04-13,73,66,79,29.76,9,7
2014-04-14,58,46,65,29.96,8,10
2014-04-15,52,25,39,30.27,10,4
2014-04-16,57,40,56,30.06,10,7
2014-04-17,62,57,85,30.09,7,4
2014-04-18,69,57,68,30.17,6,2
2014-04-19,66,54,68,30.12,9,5
2014-04-20,68,59,77,30.1,8,6
2014-04-21,74,63,72,30.01,9,5
2014-04-22,75,58,61,29.96,10,3
2014-04-23,73,61,68,29.85,10,7
2014-04-24,78,62,63,29.82,10,5
2014-04-25,76,54,51,29.92,10,6
2014-04-26,77,66,73,29.78,6,8
2014-04-27,85,66,51,29.55,6,6
2014-04-28,80,39,39,29.61,10,4
2014-04-29,72,34,36,29.77,10,7
2014-04-30,66,33,32,30.08,10,6
2014-05-01,65,33,39,30.12,10,3
2014-05-02,70,35,33,30.02,10,3
2014-05-03,76,35,27,30,10,4
2014-05-04,76,37,27,30.02,10,7
2014-05-05,76,56,61,29.91,10,8
2014-05-06,76,62,66,29.81,10,9
2014-05-07,79,64,65,29.81,10,9
2014-05-08,79,70,75,29.81,6,8
2014-05-09,76,68,69,29.89,5,5
2014-05-10,76,62,71,29.84,10,6
2014-05-11,83,67,63,29.77,9,10
2014-05-12,72,70,87,29.84,5,7
2014-05-13,61,54,73,30.09,8,8
2014-05-14,64,43,57,30.24,10,7
2014-05-15,65,41,55,30.22,10,3
2014-05-16,74,43,40,30.06,10,7
2014-05-17,73,55,58,29.97,10,9
2014-05-18,74,59,67,30.03,10,8
2014-05-19,76,61,65,30,10,10
2014-05-20,78,62,63,30.01,10,9
2014-05-21,80,64,61,30.02,10,8
2014-05-22,79,65,70,30.05,10,7
2014-05-23,78,67,69,30.03,8,6
2014-05-24,78,68,79,29.99,9,7
2014-05-25,80,66,66,29.98,10,6
2014-05-26,70,65,83,30,8,5
2014-05-27,68,64,86,29.95,6,3
2014-05-28,76,66,74,29.88,7,4
2014-05-29,78,63,66,29.85,10,2
2014-05-30,81,65,60,29.82,10,3
2014-05-31,82,67,63,29.85,10,3
2014-06-01,80,69,69,29.9,8,4
2014-06-02,83,69,67,29.91,10,7
2014-06-03,83,70,67,29.96,10,6
2014-06-04,83,70,70,29.86,10,7
2014-06-05,83,70,72,29.82,10,7
2014-06-06,83,70,70,29.88,10,7
2014-06-07,83,70,71,29.89,10,7
2014-06-08,83,70,67,29.88,10,7
2014-06-09,77,71,78,29.81,8,4
2014-06-10,78,61,64,29.85,10,3
2014-06-11,80,66,64,29.83,10,5
2014-06-12,80,72,68,29.82,9,8
2014-06-13,84,71,68,30,10,6
2014-06-14,83,71,69,30.04,10,5
2014-06-15,84,72,72,29.99,10,6
2014-06-16,83,72,70,29.9,9,8
2014-06-17,84,69,69,29.99,10,9
2014-06-18,85,72,68,29.96,9,9
2014-06-19,84,71,68,30,10,6
2014-06-20,83,71,69,30.04,10,5
2014-06-21,84,72,72,29.99,10,6
2014-06-22,83,72,70,29.9,9,8
2014-06-23,78,72,75,29.93,8,4
2014-06-24,84,72,72,30,9,4
2014-06-25,80,72,77,30.01,8,5
2014-06-26,80,71,76,29.95,10,7
2014-06-27,83,72,69,29.87,10,8
2014-06-28,86,73,69,29.88,10,9
2014-06-29,86,73,69,29.97,9,9
2014-06-30,87,71,64,29.94,9,8
2014-07-01,86,70,64,29.92,10,6
2014-07-02,85,69,64,30,10,4
2014-07-03,84,69,62,30.08,10,3
2014-07-04,82,68,67,30.15,10,4
2014-07-05,82,69,70,30.12,10,4
2014-07-06,84,70,72,30.03,8,5
2014-07-07,85,67,61,29.97,10,5
2014-07-08,86,68,63,29.99,10,7
2014-07-09,85,66,59,30,10,6
2014-07-10,84,68,64,30.01,10,5
2014-07-11,83,67,60,30.09,10,5
2014-07-12,85,66,59,30.1,9,4
2014-07-13,87,67,63,30.03,10,4
2014-07-14,88,67,55,29.96,10,4
2014-07-15,83,71,71,29.96,10,3
2014-07-16,84,71,68,29.95,8,4
2014-07-17,82,74,77,29.86,7,5
2014-07-18,75,71,87,29.93,7,3
2014-07-19,78,68,76,29.99,9,2
2014-07-20,84,72,73,29.96,9,4
2014-07-21,87,73,70,29.97,9,6
2014-07-22,86,72,68,30.01,10,2
2014-07-23,86,71,66,30,9,3
2014-07-24,84,72,70,29.99,8,3
2014-07-25,86,70,63,29.96,10,5
2014-07-26,87,71,66,29.95,10,6
2014-07-27,87,71,64,30,10,6
2014-07-28,87,69,62,30.05,10,3
2014-07-29,87,70,63,30.03,10,4
2014-07-30,86,68,60,29.97,10,6
2014-07-31,87,71,64,29.94,10,4
2014-08-01,82,65,59,29.98,10,5
2014-08-02,79,66,70,30.02,10,3
2014-08-03,83,66,62,30,10,4
2014-08-04,83,69,66,29.98,9,3
2014-08-05,85,68,61,29.99,10,3
2014-08-06,88,68,64,29.96,10,5
2014-08-07,90,71,59,29.9,8,6
2014-08-08,89,70,60,29.89,10,6
2014-08-09,89,68,60,29.94,10,5
2014-08-10,89,69,58,29.96,10,4
2014-08-11,89,71,62,30,10,3
2014-08-12,87,66,62,29.99,10,4
2014-08-13,83,57,45,30.01,10,4
2014-08-14,84,61,50,29.97,10,4
2014-08-15,88,69,58,29.95,10,5
2014-08-16,91,69,57,29.88,10,7
2014-08-17,90,71,56,29.92,10,6
2014-08-18,90,71,59,29.9,10,7
2014-08-19,87,68,55,29.87,10,7
2014-08-20,90,71,57,29.92,10,8
2014-08-21,92,71,55,29.98,10,9
2014-08-22,91,69,55,29.99,10,8
2014-08-23,88,69,62,29.94,10,6
2014-08-24,89,70,59,29.9,10,5
2014-08-25,89,67,59,29.9,10,5
2014-08-26,89,68,52,29.93,10,4
2014-08-27,87,66,58,29.96,10,4
2014-08-28,88,71,61,29.89,10,5
2014-08-29,87,72,64,29.87,10,5
2014-08-30,85,72,69,29.91,10,4
2014-08-31,87,72,68,29.93,10,7
2014-09-01,90,72,62,29.9,10,8
2014-09-02,88,73,66,29.91,10,8
2014-09-03,88,70,61,29.95,10,6
2014-09-04,86,74,65,30,8,5
2014-09-05,87,73,63,30.02,10,4
2014-09-06,86,71,67,30.01,10,3
2014-09-07,82,72,78,30.04,8,3
2014-09-08,84,69,70,29.97,10,3
2014-09-09,86,69,63,29.9,10,6
2014-09-10,88,71,63,29.83,10,7
2014-09-11,89,71,60,29.89,10,5
2014-09-12,81,70,67,30,9,5
2014-09-13,63,60,92,30.19,5,5
2014-09-14,71,64,87,30.16,8,2
2014-09-15,79,68,76,30.09,9,2
2014-09-16,84,72,70,30.01,10,3
2014-09-17,83,74,75,29.93,9,3
2014-09-18,81,73,78,29.88,7,2
2014-09-19,80,74,85,29.89,8,3
2014-09-20,82,73,78,29.94,9,3
2014-09-21,81,70,71,30.01,10,3
2014-09-22,81,68,69,30.07,10,4
2014-09-23,76,58,57,30.09,10,3
2014-09-24,72,56,64,30.1,10,2
2014-09-25,73,62,74,30.1,10,3
2014-09-26,76,64,71,30.06,10,3
2014-09-27,74,66,78,30,10,2
2014-09-28,77,65,72,29.98,8,3
2014-09-29,78,64,68,29.92,10,2
2014-09-30,78,65,70,29.83,10,2
2014-10-01,84,70,68,29.79,10,5
2014-10-02,84,72,72,29.82,9,7
2014-10-03,75,51,44,30.06,10,7
2014-10-04,70,48,51,30.12,10,4
2014-10-05,75,62,69,29.9,10,6
2014-10-06,81,69,73,29.86,10,6
2014-10-07,83,70,67,29.92,9,5
2014-10-08,82,70,70,29.98,10,6
2014-10-09,84,71,69,29.93,10,7
2014-10-10,84,70,66,29.89,10,7
2014-10-11,69,62,85,30.04,7,5
2014-10-12,69,63,86,29.88,9,2
2014-10-13,69,59,63,29.8,10,10
2014-10-14,66,43,49,30.09,10,5
2014-10-15,72,46,46,30.06,10,2
2014-10-16,72,49,50,29.94,10,4
2014-10-17,74,60,69,29.9,10,3
2014-10-18,76,64,67,30,10,2
2014-10-19,74,63,74,30.06,10,2
2014-10-20,73,61,73,30.02,9,2
2014-10-21,71,55,61,30.03,9,3
2014-10-22,72,59,67,30.06,10,2
2014-10-23,75,59,64,30.09,10,2
2014-10-24,73,59,64,30.12,10,2
2014-10-25,75,59,62,30.11,10,2
2014-10-26,74,58,62,29.98,10,4
2014-10-27,74,61,67,29.89,10,6
2014-10-28,75,65,74,29.99,10,2
2014-10-29,73,62,68,30.1,10,3
2014-10-30,73,59,72,30.1,10,2
2014-10-31,66,49,60,30.22,9,7
2014-11-01,58,39,54,30.34,10,5
2014-11-02,62,45,61,30.26,10,6
2014-11-03,68,59,72,30.12,10,6
2014-11-04,67,63,87,30.09,8,5
2014-11-05,57,56,97,30.16,6,6
2014-11-06,59,51,75,30.28,10,4
2014-11-07,60,41,53,30.19,10,2
2014-11-08,62,47,67,30.1,10,4
2014-11-09,61,43,59,30.07,10,3
2014-11-10,63,53,70,29.83,10,6
2014-11-11,54,41,67,30.03,10,7
2014-11-12,44,23,50,30.34,10,9
2014-11-13,36,13,43,30.52,10,8
2014-11-14,38,17,44,30.4,10,3
2014-11-15,44,39,72,30.14,5,4
2014-11-16,42,45,91,30,4,6
2014-11-17,42,21,52,30.4,10,6
2014-11-18,43,23,51,30.48,10,2
2014-11-19,51,38,64,30.27,10,3
2014-11-20,57,57,85,30.08,8,3
2014-11-21,68,65,90,30.05,6,5
2014-11-22,63,62,97,29.86,6,7
2014-11-23,67,48,62,29.64,10,5
2014-11-24,53,32,47,30.06,10,5
2014-11-25,53,33,53,30.26,10,3
2014-11-26,60,33,40,30.22,10,3
2014-11-27,53,33,52,30.45,10,4
2014-11-28,57,45,62,30.24,10,4
2014-11-29,65,57,75,30.02,10,7
2014-11-30,72,62,71,30.03,10,7
2014-12-01,54,42,69,30.31,10,6
2014-12-02,45,32,63,30.33,10,4
2014-12-03,54,50,88,30.18,7,1
2014-12-04,62,61,94,30.11,3,3
2014-12-05,69,64,82,30.08,8,5
2014-12-06,62,51,72,30.32,10,6
2014-12-07,54,48,83,30.33,10,4
2014-12-08,58,46,69,30.32,10,3
2014-12-09,56,45,70,30.31,8,1
2014-12-10,57,50,75,30.2,9,1
2014-12-11,62,57,85,30.18,7,5
2014-12-12,65,57,78,30.23,10,5
2014-12-13,65,57,79,30.15,9,5
2014-12-14,68,62,82,29.94,9,6
2014-12-15,63,51,58,29.99,10,5
2014-12-16,55,34,47,30.28,10,5
2014-12-17,51,44,75,30.14,8,4
2014-12-18,55,51,92,30.1,4,3
2014-12-19,53,48,89,30.12,7,7
2014-12-20,52,45,82,30.21,9,3
2014-12-21,53,49,83,30.02,9,5
2014-12-22,67,52,63,29.7,10,5
2014-12-23,51,40,66,29.81,10,8
2014-12-24,46,32,62,30.11,10,6
2014-12-25,49,33,61,30.05,10,6
2014-12-26,64,57,83,29.93,9,5
2014-12-27,54,49,79,30.09,8,8
2014-12-28,40,30,71,30.25,10,4
2014-12-29,49,36,68,30.14,10,2
2014-12-30,43,40,87,30.36,6,6
2014-12-31,39,29,70,30.48,10,8
2015-01-01,37,35,82,30.25,3,5
2015-01-02,41,39,95,30.08,4,5
2015-01-03,51,40,74,29.99,8,3
2015-01-04,43,30,69,30.48,10,7
2015-01-05,41,23,54,30.6,10,4
2015-01-06,54,32,50,30.38,10,2
2015-01-07,41,27,54,30.58,10,9
2015-01-08,30,12,48,30.54,10,5
2015-01-09,36,26,62,30.48,10,6
2015-01-10,34,31,76,30.42,4,3
2015-01-11,42,39,90,30.21,7,3
2015-01-12,43,41,88,30.28,5,5
2015-01-13,39,33,83,30.43,7,7
2015-01-14,39,36,86,30.33,4,5
2015-01-15,49,36,68,30.33,9,4
2015-01-16,51,38,64,30.29,10,3
2015-01-17,54,40,63,30.13,10,3
2015-01-18,59,30,37,30.28,10,3
2015-01-19,56,41,59,30.04,10,3
2015-01-20,61,44,59,29.94,10,3
2015-01-21,53,50,84,30.07,5,6
2015-01-22,47,46,91,30.07,4,10
2015-01-23,45,38,77,30.26,8,6
2015-01-24,50,36,62,30.2,10,4
2015-01-25,57,34,53,30.11,10,6
2015-01-26,60,37,43,30.21,10,5
2015-01-27,67,40,47,30.15,10,6
2015-01-28,62,42,60,30.12,10,4
2015-01-29,66,49,68,30.22,10,4
2015-01-30,53,36,52,30.37,10,6
2015-01-31,56,51,80,30.04,5,4
2015-02-01,59,54,77,29.98,8,7
2015-02-02,41,24,48,30.35,10,6
2015-02-03,42,37,76,30.27,6,2
2015-02-04,49,45,92,30.13,5,2
2015-02-05,45,35,77,30.38,10,7
2015-02-06,49,38,69,30.37,10,3
2015-02-07,55,46,71,30.08,8,5
2015-02-08,68,56,72,29.9,10,6
2015-02-09,68,44,49,30.07,10,3
2015-02-10,64,44,57,29.99,10,4
2015-02-11,65,49,64,30.03,7,5
2015-02-12,53,34,51,30.35,10,7
2015-02-13,55,38,58,30.31,10,2
2015-02-14,63,47,60,30.22,10,3
2015-02-15,63,58,80,30.02,10,5
2015-02-16,51,39,79,30.03,8,9
2015-02-17,45,27,59,30.25,10,7
2015-02-18,49,29,56,30.31,10,4
2015-02-19,54,40,61,30.25,10,5
2015-02-20,65,56,72,29.92,10,9
2015-02-21,67,56,69,29.88,10,6
2015-02-22,47,44,80,30.14,8,7
2015-02-23,34,29,87,30.45,7,9
2015-02-24,34,29,84,30.24,8,4
2015-02-25,49,34,64,29.94,8,3
2015-02-26,43,31,74,30.19,10,7
2015-02-27,34,25,72,30.38,8,7
2015-02-28,34,31,93,30.31,5,5
2015-03-01,39,38,95,30.29,4,6
2015-03-02,42,40,95,30.28,5,4
2015-03-03,52,49,95,29.98,2,1
